Individual,Date,0H,4H,Total.24.Freeze,Percent.Leaked
2.02,10/8/22,1.65,5,16.32,20.53%
4.01,10/8/22,1.65,5.35,22.5,16.44%
5.01,10/8/22,1.74,4.34,10.73,24.23%
5.03,10/8/22,1.66,3.87,9.66,22.88%
6.02,10/8/22,1.62,3.8,21.82,9.99%
6.04,10/8/22,1.63,4.9,18.5,17.68%
6.07,10/8/22,1.6,4.44,17.45,16.28%
6.08,10/8/22,1.65,5.48,29.51,12.98%
6.1,10/10/22,1.83,7.25,18.55,29.22%
6.11,10/10/22,1.65,6.14,20.42,21.99%
11.04,10/17/22,1.81,2.94,,
19.05,10/17/22,1.75,9.32,,
20.01,10/17/22,1.75,6.36,,
20.02,10/17/22,1.78,6.31,,
6.11,10/20/22,1.13,3.35,,
8.01,10/20/22,1.2,4.58,,
8.02,10/20/22,1.22,7.15,,
8.03,10/20/22,1.22,4.01,,
8.04,10/20/22,1.14,3.81,,
8.08,10/20/22,1.09,3.54,,
9.01,10/20/22,1.14,3.71,,
9.04,10/20/22,1.22,3.84,,
10.01,10/20/22,1.09,5.15,,
10.03,10/20/22,1.07,4.6,,
10.04,10/20/22,1.12,2.42,,
10.05,10/20/22,1.09,4.12,,
10.07,10/20/22,1.15,3.65,,
10.08,10/20/22,1.12,5.08,,
10.09,10/20/22,1.09,3.77,,
11.01,10/20/22,1.19,4.44,,
12.01,10/21/22,1.53,11.69,,
13.09,10/21/22,1.58,3.9,,
14.04,10/21/22,1.57,4.25,,
15.02,10/21/22,1.53,4.1,,
16.03,10/21/22,1.61,2.58,,
19.08,10/21/22,1.52,5.9,,
19.1,10/21/22,1.49,5.43,,
19.11,10/21/22,1.62,6.82,,
20.03,10/21/22,1.52,4.46,,
20.08,10/21/22,1.54,4.78,,
21.02,10/21/22,1.63,4.53,,
22.02,10/21/22,1.56,3.21,,
22.03,10/21/22,1.58,4.73,,
22.04,10/21/22,1.58,6.16,,
22.05,10/21/22,1.57,4.44,,
22.07,10/21/22,1.52,4.58,,
22.08,10/21/22,1.59,4.6,,
26.01,10/21/22,1.6,4.73,,
29.01,10/21/22,1.56,4.9,,
31.01,10/21/22,1.54,4.07,,
1.01,,,,,
2.01,,,,,
7.06,,,,,
13.07,,,,,
14.03,,,,,
15.05,,,,,
17.02,,,,,
21.01,,,,,
