,Pop1,Pop2,Pop5,Pop6,Pop9,Pop10,Pop11,Pop12,Pop13,Pop14,Pop15,Pop17,Pop20,Pop21,Pop22
Pop1,0,-0.243,-0.175,-0.164,-0.259,-0.099,-0.104,-0.164,-0.054,-0.293,-0.081,-0.024,-0.092,-0.307,-0.075
Pop2,-0.243,0,-0.099,-0.122,-0.096,-0.004,-0.028,-0.308,0.014,-0.199,-0.003,0.016,-0.004,-0.2,-0.002
Pop5,-0.175,-0.099,0,-0.103,-0.101,-0.01,-0.042,-0.164,0.004,-0.132,-0.012,0.022,-0.012,-0.141,0.033
Pop6,-0.164,-0.122,-0.103,0,-0.05,-0.001,-0.023,-0.129,0.024,-0.055,0.009,0.035,-0.001,-0.102,0.039
Pop9,-0.259,-0.096,-0.101,-0.05,0,-0.099,-0.11,-0.344,-0.025,-0.171,-0.069,-0.027,-0.035,-0.242,-0.048
Pop10,-0.099,-0.004,-0.01,-0.001,-0.099,0,-0.061,-0.078,0.044,-0.035,0.009,0.047,0.012,-0.126,0.017
Pop11,-0.104,-0.028,-0.042,-0.023,-0.11,-0.061,0,-0.083,0.034,-0.041,-0.007,0.037,0.004,-0.125,0.007
Pop12,-0.164,-0.308,-0.164,-0.129,-0.344,-0.078,-0.083,0,-0.2,-0.282,-0.152,-0.124,-0.067,-0.378,-0.117
Pop13,-0.054,0.014,0.004,0.024,-0.025,0.044,0.034,-0.2,0,-0.112,0.048,0.066,0.057,-0.058,0.052
Pop14,-0.293,-0.199,-0.132,-0.055,-0.171,-0.035,-0.041,-0.282,-0.112,0,-0.044,-0.08,-0.012,-0.116,0.006
Pop15,-0.081,-0.003,-0.012,0.009,-0.069,0.009,-0.007,-0.152,0.048,-0.044,0,0.022,0.028,-0.112,0.036
Pop17,-0.024,0.016,0.022,0.035,-0.027,0.047,0.037,-0.124,0.066,-0.08,0.022,0,0.042,-0.074,0.078
Pop20,-0.092,-0.004,-0.012,-0.001,-0.035,0.012,0.004,-0.067,0.057,-0.012,0.028,0.042,0,-0.075,0.033
Pop21,-0.307,-0.2,-0.141,-0.102,-0.242,-0.126,-0.125,-0.378,-0.058,-0.116,-0.112,-0.074,-0.075,0,-0.16
Pop22,-0.075,-0.002,0.033,0.039,-0.048,0.017,0.007,-0.117,0.052,0.006,0.036,0.078,0.033,-0.16,0
