,Pop1,Pop2,Pop6,Pop9,Pop10,Pop11,Pop12,Pop13,Pop14,Pop15,Pop17,Pop20,Pop21,Pop22
Pop1,0,-0.813,-0.438,-0.949,-0.281,-0.298,-0.774,-0.185,-1.475,-0.22,-0.134,-0.262,-1.347,-0.231
Pop2,-0.813,0,-0.275,-0.342,-0.019,-0.072,-1.563,0.021,-0.806,-0.014,0.007,-0.019,-0.822,-0.012
Pop6,-0.438,-0.275,0,-0.129,-0.017,-0.062,-0.388,0.031,-0.143,0.028,0.058,-0.019,-0.335,0.064
Pop9,-0.949,-0.342,-0.129,0,-0.242,-0.268,-1.983,-0.073,-0.687,-0.174,-0.118,-0.096,-1.062,-0.122
Pop10,-0.281,-0.019,-0.017,-0.242,0,-0.139,-0.24,0.069,-0.093,0.025,0.079,0.006,-0.389,0.017
Pop11,-0.298,-0.072,-0.062,-0.268,-0.139,0,-0.252,0.049,-0.109,-0.005,0.06,-0.011,-0.393,-0.002
Pop12,-0.774,-1.563,-0.388,-1.983,-0.24,-0.252,0,-0.552,-1.172,-0.469,-0.446,-0.207,-2.8,-0.343
Pop13,-0.185,0.021,0.031,-0.073,0.069,0.049,-0.552,0,-0.269,0.102,0.119,0.093,-0.219,0.085
Pop14,-1.475,-0.806,-0.143,-0.687,-0.093,-0.109,-1.172,-0.269,0,-0.129,-0.258,-0.041,-0.522,0.004
Pop15,-0.22,-0.014,0.028,-0.174,0.025,-0.005,-0.469,0.102,-0.129,0,0.043,0.063,-0.349,0.082
Pop17,-0.134,0.007,0.058,-0.118,0.079,0.06,-0.446,0.119,-0.258,0.043,0,0.066,-0.327,0.146
Pop20,-0.262,-0.019,-0.019,-0.096,0.006,-0.011,-0.207,0.093,-0.041,0.063,0.066,0,-0.257,0.048
Pop21,-1.347,-0.822,-0.335,-1.062,-0.389,-0.393,-2.8,-0.219,-0.522,-0.349,-0.327,-0.257,0,-0.463
Pop22,-0.231,-0.012,0.064,-0.122,0.017,-0.002,-0.343,0.085,0.004,0.082,0.146,0.048,-0.463,0
