Individual,Pre Stress,Post Stress,Post Recovery,PopID,Region,Species
2.02,0,1,1,2,San Diego,californica
2.02,0,1,1,2,San Diego,californica
2.02,0,1,1,2,San Diego,californica
2.02,0,1,1,2,San Diego,californica
2.02,0,1,1,2,San Diego,californica
2.02,0,1,1,2,San Diego,californica
2.02,0,1,1,2,San Diego,californica
2.02,0,1,2,2,San Diego,californica
2.02,0,1,2,2,San Diego,californica
4.01,0,0,1,4,San Diego,arcuata x retrofracta x sparsiflora
4.01,0,0,1,4,San Diego,arcuata x retrofracta x sparsiflora
4.01,0,0,1,4,San Diego,arcuata x retrofracta x sparsiflora
4.01,0,0,1,4,San Diego,arcuata x retrofracta x sparsiflora
4.01,0,0,1,4,San Diego,arcuata x retrofracta x sparsiflora
4.01,0,0,1,4,San Diego,arcuata x retrofracta x sparsiflora
4.01,0,1,1,4,San Diego,arcuata x retrofracta x sparsiflora
4.01,0,1,1,4,San Diego,arcuata x retrofracta x sparsiflora
4.01,0,1,1,4,San Diego,arcuata x retrofracta x sparsiflora
4.01,0,1,1,4,San Diego,arcuata x retrofracta x sparsiflora
5.01,0,0,2,5,San Diego,californica
5.01,0,0,3,5,San Diego,californica
5.01,0,0,3,5,San Diego,californica
5.01,0,0,4,5,San Diego,californica
5.01,0,0,4,5,San Diego,californica
5.01,0,0,4,5,San Diego,californica
5.01,0,0,4,5,San Diego,californica
5.01,0,0,4,5,San Diego,californica
5.01,0,1,4,5,San Diego,californica
5.01,0,1,4,5,San Diego,californica
5.03,0,0,1,5,San Diego,californica
5.03,0,0,1,5,San Diego,californica
5.03,0,0,3,5,San Diego,californica
5.03,0,0,3,5,San Diego,californica
5.03,0,0,3,5,San Diego,californica
5.03,0,0,3,5,San Diego,californica
5.03,0,1,3,5,San Diego,californica
5.03,0,1,4,5,San Diego,californica
5.03,0,1,4,5,San Diego,californica
5.03,0,1,4,5,San Diego,californica
6.02,0,0,1,6,San Diego,californica
6.02,0,0,1,6,San Diego,californica
6.02,0,0,1,6,San Diego,californica
6.02,0,0,2,6,San Diego,californica
6.02,0,0,2,6,San Diego,californica
6.02,0,0,2,6,San Diego,californica
6.02,0,0,2,6,San Diego,californica
6.02,0,0,2,6,San Diego,californica
6.02,0,1,2,6,San Diego,californica
