,Pop1,Pop2,Pop5,Pop6,Pop9,Pop10,Pop11,Pop12,Pop13,Pop14,Pop15,Pop17,Pop20,Pop21,Pop22
Pop1,0,0.23,0.253,0.089,0.139,0.475,0.523,0.316,0.746,0.297,0.597,0.663,0.609,0.25,0.56
Pop2,0.23,0,0.245,0.076,0.32,0.562,0.48,0.328,0.621,0.353,0.588,0.575,0.573,0.302,0.544
Pop5,0.253,0.245,0,0.033,0.258,0.626,0.493,0.389,0.697,0.356,0.598,0.649,0.645,0.409,0.63
Pop6,0.089,0.076,0.033,0,0.322,0.47,0.363,0.382,0.563,0.396,0.514,0.555,0.48,0.408,0.555
Pop9,0.139,0.32,0.258,0.322,0,0.192,0.112,0.246,0.538,0.305,0.457,0.503,0.499,0.143,0.411
Pop10,0.475,0.562,0.626,0.47,0.192,0,0.452,0.686,0.894,0.656,0.76,0.816,0.839,0.556,0.667
Pop11,0.523,0.48,0.493,0.363,0.112,0.452,0,0.639,0.854,0.628,0.71,0.779,0.781,0.557,0.627
Pop12,0.316,0.328,0.389,0.382,0.246,0.686,0.639,0,0.34,0.066,0.637,0.625,0.707,0.304,0.538
Pop13,0.746,0.621,0.697,0.563,0.538,0.894,0.854,0.34,0,0.459,0.842,0.868,0.918,0.744,0.751
Pop14,0.297,0.353,0.356,0.396,0.305,0.656,0.628,0.066,0.459,0,0.649,0.588,0.718,0.345,0.654
Pop15,0.597,0.588,0.598,0.514,0.457,0.76,0.71,0.637,0.842,0.649,0,0.736,0.801,0.626,0.71
Pop17,0.663,0.575,0.649,0.555,0.503,0.816,0.779,0.625,0.868,0.588,0.736,0,0.822,0.668,0.749
Pop20,0.609,0.573,0.645,0.48,0.499,0.839,0.781,0.707,0.918,0.718,0.801,0.822,0,0.697,0.718
Pop21,0.25,0.302,0.409,0.408,0.143,0.556,0.557,0.304,0.744,0.345,0.626,0.668,0.697,0,0.349
Pop22,0.56,0.544,0.63,0.555,0.411,0.667,0.627,0.538,0.751,0.654,0.71,0.749,0.718,0.349,0
