Individual,K2,K3
1.01,1,1
1.03,2,1
2.04,1,1
2.05,1,1
2.06,1,1
5.01,2,1
5.02,1,1
5.04,1,1
6.01,1,1
6.02,1,1
6.03,1,1
6.05,1,1
6.09,1,1
9.02,1,2
9.04,1,2
9.06,1,2
10.03,1,2
10.06,1,2
10.09,1,2
10.12,1,2
11.01,1,2
11.02,1,2
11.04,1,2
11.07,1,2
12.01,2,3
12.02,2,3
13.02,2,3
13.05,2,3
13.07,2,3
13.09,2,3
14.02,2,3
14.04,2,3
15.01,2,1
15.02,2,1
15.04,2,1
15.06,2,1
16.01,2,3
17.04,2,3
17.05,2,3
17.06,2,3
18.01,2,3
18.02,2,3
20.01,1,1
20.02,1,1
20.05,1,1
20.06,1,1
21.01,1,1
21.02,1,1
22.01,1,1
22.02,1,1
22.03,1,1
22.05,1,1
22.07,1,1
23.01,1,3
23.02,1,3
