,Pop1,Pop2,Pop6,Pop9,Pop10,Pop11,Pop12,Pop13,Pop14,Pop15,Pop17,Pop20,Pop21,Pop22
Pop1,0,1.012822612,5.003346155,8.000007383,9.000620857,10.00077307,11.00235896,12.00104324,13.00000024,14.00141087,16.000865,19.00049559,20.00087382,21.00126073
Pop2,1.012822612,0,4.000062171,7.001602364,8.004433316,9.004511369,10.00022557,11.00462136,12.00104237,13.0049675,15.0035645,18.00001524,19.00001821,20.00012062
Pop6,5.003346155,4.000062171,0,3.004931614,4.010402862,5.009434539,6.000167743,7.008310228,8.002035393,9.008091266,11.00554551,14.00007467,15.00000053,16.0000695
Pop9,8.000007383,7.001602364,3.004931614,0,1.006772989,2.004565536,3.007834537,4.003572975,5.000007032,6.003660955,8.001963211,11.00072578,12.00129192,13.00184866
Pop10,9.000620857,8.004433316,4.010402862,1.006772989,0,1.000173533,2.027621019,3.000459709,4.001463097,5.000865685,7.00026282,10.00295074,11.00389286,12.00469831
Pop11,10.00077307,9.004511369,5.009434539,2.004565536,1.000173533,0,1.060199047,2.000287123,3.002679736,4.000692152,6.0001472,9.003800475,10.00484435,11.00570952
Pop12,11.00235896,10.00022557,6.000167743,3.007834537,2.027621019,1.060199047,0,1.071933269,2.012654338,3.030177109,5.015515009,8.000512889,9.000092766,10.00000026
Pop13,12.00104324,11.00462136,7.008310228,4.003572975,3.000459709,2.000287123,1.071933269,0,1.012833051,2.000410529,4.000008279,7.006233056,8.007444015,9.008374789
Pop14,13.00000024,12.00104237,8.002035393,5.000007032,4.001463097,3.002679736,2.012654338,1.012833051,0,1.020048739,3.004748402,6.001512915,7.002430379,8.003237842
Pop15,14.00141087,13.0049675,9.008091266,6.003660955,5.000865685,4.000692152,3.030177109,2.000410529,1.020048739,0,2.000262211,5.011276454,6.012385556,7.013125875
Pop17,16.000865,15.0035645,11.00554551,8.001963211,7.00026282,6.0001472,5.015515009,4.000008279,3.004748402,2.000262211,0,3.015323702,4.015575229,5.015695717
Pop20,19.00049559,18.00001524,14.00007467,11.00072578,10.00295074,9.003800475,8.000512889,7.006233056,6.001512915,5.011276454,3.015323702,0,1.001235604,2.002155619
Pop21,20.00087382,19.00001821,15.00000053,12.00129192,11.00389286,10.00484435,9.000092766,8.007444015,7.002430379,6.012385556,4.015575229,1.001235604,0,1.000930774
Pop22,21.00126073,20.00012062,16.0000695,13.00184866,12.00469831,11.00570952,10.00000026,9.008374789,8.003237842,7.013125875,5.015695717,2.002155619,1.000930774,0
