Individual,PopID,Elevation,tmean1,tmax_1,tmin1,PPT1,tdmean1,vpdmax1,vpdmin1,solclear1,soltrans1
1.01,1,1106,13.5600004,22.420002,4.71000004,617.999023,1.59000003,23.1400013,2.64000011,23.7059994,0.81159997
1.03,1,1106,13.5600004,22.420002,4.71000004,617.999023,1.59000003,23.1400013,2.64000011,23.7059994,0.81159997
2.04,2,1346,13.4800005,21.3600006,5.61000013,628.829041,1.03000009,21.4500008,3.16000009,23.7806988,0.80439997
2.05,2,1346,13.4800005,21.3600006,5.61000013,628.829041,1.03000009,21.4500008,3.16000009,23.7806988,0.80439997
2.06,2,1346,13.4800005,21.3600006,5.61000013,628.829041,1.03000009,21.4500008,3.16000009,23.7806988,0.80439997
5.01,5,1681,12.3500004,19.4700012,5.24000025,568.507019,-1.1600001,19.1600018,3.34000015,24.0985985,0.81659997
5.02,5,1681,12.3500004,19.4700012,5.24000025,568.507019,-1.1600001,19.1600018,3.34000015,24.0985985,0.81659997
5.04,5,1681,12.3500004,19.4700012,5.24000025,568.507019,-1.1600001,19.1600018,3.34000015,24.0985985,0.81659997
6.01,6,1681,12.3500004,19.4700012,5.24000025,568.507019,-1.1600001,19.1600018,3.34000015,24.0985985,0.81659997
6.02,6,1681,12.3500004,19.4700012,5.24000025,568.507019,-1.1600001,19.1600018,3.34000015,24.0985985,0.81659997
6.03,6,1681,12.3500004,19.4700012,5.24000025,568.507019,-1.1600001,19.1600018,3.34000015,24.0985985,0.81659997
6.05,6,1681,12.3500004,19.4700012,5.24000025,568.507019,-1.1600001,19.1600018,3.34000015,24.0985985,0.81659997
6.09,6,1681,12.3500004,19.4700012,5.24000025,568.507019,-1.1600001,19.1600018,3.34000015,24.0985985,0.81659997
9.02,9,1606,12.7400007,19.6500015,5.84000015,580.013001,-0.49,19.0300007,3.55000019,24.0793991,0.81759995
9.04,9,1606,12.7400007,19.6500015,5.84000015,580.013001,-0.49,19.0300007,3.55000019,24.0793991,0.81759995
9.06,9,1606,12.7400007,19.6500015,5.84000015,580.013001,-0.49,19.0300007,3.55000019,24.0793991,0.81759995
10.03,10,1507,13.420001,19.5800018,7.25000048,638.434021,0.71000004,18.0300007,4.35000038,23.8992996,0.81049997
10.06,10,1507,13.420001,19.5800018,7.25000048,638.434021,0.71000004,18.0300007,4.35000038,23.8992996,0.81049997
10.09,10,1507,13.420001,19.5800018,7.25000048,638.434021,0.71000004,18.0300007,4.35000038,23.8992996,0.81049997
10.12,10,1507,13.420001,19.5800018,7.25000048,638.434021,0.71000004,18.0300007,4.35000038,23.8992996,0.81049997
11.01,11,1500,13.420001,19.5800018,7.25000048,638.434021,0.71000004,18.0300007,4.35000038,23.8992996,0.81049997
11.02,11,1500,13.420001,19.5800018,7.25000048,638.434021,0.71000004,18.0300007,4.35000038,23.8992996,0.81049997
