,Pop1,Pop2,Pop6,Pop9,Pop10,Pop11,Pop12,Pop13,Pop14,Pop15,Pop17,Pop20,Pop21,Pop22
Pop1,0,1.836308472,4.334431956,4.017515925,4.258455382,4.249953263,4.046207125,2.832873229,2.448491462,6.686178882,6.624411028,4.190785007,2.836880904,3.161421775
Pop2,1.836308472,0,3.319706675,2.919612785,2.764710773,2.759522212,4.978068238,3.710475406,1.938530853,5.567722057,5.931222174,3.50788705,2.143474696,2.277090143
Pop6,4.334431956,3.319706675,0,0.88106636,2.943209177,2.948691711,7.241509889,6.301379337,4.446032008,6.702639723,5.246153408,3.666775677,3.44508869,3.593520143
Pop9,4.017515925,2.919612785,0.88106636,0,2.197815663,2.202055238,6.634524044,5.786167609,3.961731506,5.988143174,4.729781901,3.501714107,2.939584296,3.011881656
Pop10,4.258455382,2.764710773,2.943209177,2.197815663,0,0.0252379,6.212971586,5.483291593,3.621344705,4.059940305,4.189571839,3.626800126,2.55657934,2.340071201
Pop11,4.249953263,2.759522212,2.948691711,2.202055238,0.0252379,0,6.20292386,5.474115393,3.614667363,4.056408813,4.191667193,3.633104551,2.547969439,2.330661616
Pop12,4.046207125,4.978068238,7.241509889,6.634524044,6.212971586,6.20292386,0,1.857984675,4.087890679,7.561647377,7.325212608,6.330752597,4.870915308,4.73131048
Pop13,2.832873229,3.710475406,6.301379337,5.786167609,5.483291593,5.474115393,1.857984675,0,2.678351806,7.283127908,7.333306021,5.65568497,4.169408643,4.01368781
Pop14,2.448491462,1.938530853,4.446032008,3.961731506,3.621344705,3.614667363,4.087890679,2.678351806,0,6.230293886,6.738430609,4.797489094,3.232786725,2.880486312
Pop15,6.686178882,5.567722057,6.702639723,5.988143174,4.059940305,4.056408813,7.561647377,7.283127908,6.230293886,0,5.677728045,6.386675723,5.397118299,5.338839041
Pop17,6.624411028,5.931222174,5.246153408,4.729781901,4.189571839,4.191667193,7.325212608,7.333306021,6.738430609,5.677728045,0,4.12369001,4.33228227,4.363261023
Pop20,4.190785007,3.50788705,3.666775677,3.501714107,3.626800126,3.633104551,6.330752597,5.65568497,4.797489094,6.386675723,4.12369001,0,2.28120244,2.733589491
Pop21,2.836880904,2.143474696,3.44508869,2.939584296,2.55657934,2.547969439,4.870915308,4.169408643,3.232786725,5.397118299,4.33228227,2.28120244,0,0.883009593
Pop22,3.161421775,2.277090143,3.593520143,3.011881656,2.340071201,2.330661616,4.73131048,4.01368781,2.880486312,5.338839041,4.363261023,2.733589491,0.883009593,0
