,Pop1,Pop2,Pop5,Pop6,Pop9,Pop10,Pop11,Pop12,Pop13,Pop14,Pop15,Pop17,Pop20,Pop21,Pop22
Pop1,0,1.253,1.14,0.873,1.244,0.821,1.054,1.435,1.243,1.304,1.252,1.549,0.984,1.382,1.335
Pop2,1.253,0,1.134,0.845,1.529,1.385,1.284,1.571,1.503,1.645,1.576,1.756,1.389,1.524,1.466
Pop5,1.14,1.134,0,0.742,1.286,1.284,1.129,1.465,1.395,1.435,1.403,1.664,1.28,1.521,1.561
Pop6,0.873,0.845,0.742,0,1.31,1.109,1.017,1.398,1.288,1.47,1.297,1.531,1.108,1.484,1.396
Pop9,1.244,1.529,1.286,1.31,0,0.874,0.803,1.5,1.393,1.614,1.351,1.646,1.319,1.328,1.302
Pop10,0.821,1.385,1.284,1.109,0.874,0,0.637,1.519,1.317,1.349,1.174,1.475,1.097,1.258,1.219
Pop11,1.054,1.284,1.129,1.017,0.803,0.637,0,1.495,1.343,1.449,1.175,1.518,1.143,1.285,1.21
Pop12,1.435,1.571,1.465,1.398,1.5,1.519,1.495,0,0.878,1.314,1.618,1.778,1.587,1.664,1.463
Pop13,1.243,1.503,1.395,1.288,1.393,1.317,1.343,0.878,0,1.046,1.429,1.612,1.398,1.649,1.44
Pop14,1.304,1.645,1.435,1.47,1.614,1.349,1.449,1.314,1.046,0,1.565,1.628,1.517,1.62,1.733
Pop15,1.252,1.576,1.403,1.297,1.351,1.174,1.175,1.618,1.429,1.565,0,1.459,1.301,1.533,1.446
Pop17,1.549,1.756,1.664,1.531,1.646,1.475,1.518,1.778,1.612,1.628,1.459,0,1.452,1.9,1.733
Pop20,0.984,1.389,1.28,1.108,1.319,1.097,1.143,1.587,1.398,1.517,1.301,1.452,0,1.53,1.316
Pop21,1.382,1.524,1.521,1.484,1.328,1.258,1.285,1.664,1.649,1.62,1.533,1.9,1.53,0,1.15
Pop22,1.335,1.466,1.561,1.396,1.302,1.219,1.21,1.463,1.44,1.733,1.446,1.733,1.316,1.15,0
