,Pop1,Pop2,Pop6,Pop9,Pop10,Pop11,Pop12,Pop13,Pop14,Pop15,Pop17,Pop20,Pop21,Pop22
Pop1,0,-0.475,-0.236,-0.565,-0.152,-0.164,-0.599,-0.104,-1.011,-0.126,-0.081,-0.141,-0.782,-0.131
Pop2,-0.475,0,-0.155,-0.221,-0.012,-0.043,-1.015,0.013,-0.526,-0.009,0.004,-0.012,-0.516,-0.007
Pop6,-0.236,-0.155,0,-0.079,-0.01,-0.035,-0.238,0.018,-0.088,0.016,0.036,-0.011,-0.202,0.037
Pop9,-0.565,-0.221,-0.079,0,-0.141,-0.156,-1.287,-0.045,-0.452,-0.107,-0.076,-0.058,-0.661,-0.074
Pop10,-0.152,-0.012,-0.01,-0.141,0,-0.075,-0.149,0.04,-0.057,0.015,0.048,0.003,-0.225,0.01
Pop11,-0.164,-0.043,-0.035,-0.156,-0.075,0,-0.156,0.028,-0.067,-0.003,0.036,-0.006,-0.23,-0.001
Pop12,-0.599,-1.015,-0.238,-1.287,-0.149,-0.156,0,-0.313,-0.796,-0.298,-0.293,-0.129,-1.793,-0.209
Pop13,-0.104,0.013,0.018,-0.045,0.04,0.028,-0.313,0,-0.156,0.06,0.073,0.054,-0.134,0.05
Pop14,-1.011,-0.526,-0.088,-0.452,-0.057,-0.067,-0.796,-0.156,0,-0.081,-0.164,-0.025,-0.361,0.003
Pop15,-0.126,-0.009,0.016,-0.107,0.015,-0.003,-0.298,0.06,-0.081,0,0.026,0.036,-0.212,0.048
Pop17,-0.081,0.004,0.036,-0.076,0.048,0.036,-0.293,0.073,-0.164,0.026,0,0.039,-0.213,0.091
Pop20,-0.141,-0.012,-0.011,-0.058,0.003,-0.006,-0.129,0.054,-0.025,0.036,0.039,0,-0.153,0.028
Pop21,-0.782,-0.516,-0.202,-0.661,-0.225,-0.23,-1.793,-0.134,-0.361,-0.212,-0.213,-0.153,0,-0.262
Pop22,-0.131,-0.007,0.037,-0.074,0.01,-0.001,-0.209,0.05,0.003,0.048,0.091,0.028,-0.262,0
