,Pop1,Pop2,Pop6,Pop9,Pop10,Pop11,Pop12,Pop13,Pop14,Pop15,Pop17,Pop20,Pop21,Pop22
Pop1,0,-0.322,-0.191,-0.361,-0.132,-0.141,-0.375,-0.094,-0.503,-0.112,-0.075,-0.124,-0.439,-0.116
Pop2,-0.322,0,-0.135,-0.181,-0.012,-0.042,-0.504,0.013,-0.344,-0.009,0.004,-0.011,-0.34,-0.007
Pop6,-0.191,-0.135,0,-0.074,-0.01,-0.034,-0.192,0.018,-0.081,0.017,0.037,-0.01,-0.168,0.039
Pop9,-0.361,-0.181,-0.074,0,-0.124,-0.135,-0.563,-0.043,-0.311,-0.097,-0.071,-0.055,-0.398,-0.069
Pop10,-0.132,-0.012,-0.01,-0.124,0,-0.069,-0.13,0.042,-0.054,0.015,0.05,0.003,-0.184,0.01
Pop11,-0.141,-0.042,-0.034,-0.135,-0.069,0,-0.135,0.029,-0.063,-0.003,0.037,-0.006,-0.187,-0.001
Pop12,-0.375,-0.504,-0.192,-0.563,-0.13,-0.135,0,-0.239,-0.443,-0.23,-0.227,-0.114,-0.642,-0.173
Pop13,-0.094,0.013,0.018,-0.043,0.042,0.029,-0.239,0,-0.135,0.064,0.079,0.057,-0.118,0.052
Pop14,-0.503,-0.344,-0.081,-0.311,-0.054,-0.063,-0.443,-0.135,0,-0.075,-0.141,-0.024,-0.265,0.003
Pop15,-0.112,-0.009,0.017,-0.097,0.015,-0.003,-0.23,0.064,-0.075,0,0.027,0.038,-0.175,0.051
Pop17,-0.075,0.004,0.037,-0.071,0.05,0.037,-0.227,0.079,-0.141,0.027,0,0.041,-0.176,0.101
Pop20,-0.124,-0.011,-0.01,-0.055,0.003,-0.006,-0.114,0.057,-0.024,0.038,0.041,0,-0.133,0.028
Pop21,-0.439,-0.34,-0.168,-0.398,-0.184,-0.187,-0.642,-0.118,-0.265,-0.175,-0.176,-0.133,0,-0.207
Pop22,-0.116,-0.007,0.039,-0.069,0.01,-0.001,-0.173,0.052,0.003,0.051,0.101,0.028,-0.207,0
