15,55,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Group,I3,I3,I3,I3,A1,A1,A1,A1,B20,B20,B20,B20,B11,B11,B11,B11,C8,C8,C8,C8,I14,I14,I14,I14,B9,B9,B9,B9,E9,E9,E9,E9,B18,B18,B18,B18,BF3,BF3,BF3,BF3,B6,B6,B6,B6,BF19,BF19,BF19,BF19,BF15,BF15,BF15,BF15,A3,A3,A3,A3,B266,B266,B266,B266
1.01,1,79,89,0,0,238,0,0,0,209,211,0,0,78,80,0,0,230,250,252,0,210,214,217,220,86,92,96,102,201,203,207,0,113,117,0,0,93,103,0,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,141,0,0
1.03,2,79,89,0,0,238,0,0,0,209,211,224,0,80,82,0,0,0,0,0,0,0,0,0,0,86,92,96,102,201,203,207,0,113,117,0,0,93,103,119,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,0,0,0
2.04,1,79,89,0,0,238,0,0,0,209,211,0,0,78,80,0,0,230,250,252,0,210,214,217,220,86,90,0,0,199,203,0,0,113,117,0,0,93,105,0,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,147,0,0
2.05,1,77,87,89,0,234,0,0,0,0,0,0,0,78,80,0,0,230,250,252,0,210,214,217,220,86,92,96,102,201,203,207,0,113,117,0,0,93,105,0,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,147,0,0
2.06,1,79,89,0,0,238,0,0,0,209,211,0,0,78,80,0,0,230,250,252,0,210,214,217,220,95,99,0,0,199,0,0,0,117,124,0,0,93,105,0,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,147,0,0
5.01,2,79,87,93,0,238,240,0,0,209,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,86,0,0,201,203,0,0,113,120,0,0,93,103,0,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,147,0,0
5.02,1,79,89,0,0,238,0,0,0,209,211,0,0,78,80,0,0,230,250,252,0,210,214,217,220,86,92,96,102,201,203,207,0,113,117,0,0,93,103,0,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,147,0,0
5.04,1,79,87,0,0,238,0,0,0,209,211,0,0,78,80,0,0,230,250,252,0,210,214,217,220,86,92,96,102,201,203,207,0,110,115,120,0,93,103,0,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,147,0,0
6.01,1,79,89,0,0,238,0,0,0,209,211,0,0,78,80,0,0,230,250,252,0,210,214,217,220,86,92,96,102,201,203,207,0,113,117,0,0,93,103,0,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,147,0,0
6.02,1,77,87,0,0,0,0,0,0,0,0,0,0,78,80,0,0,230,250,252,0,210,214,217,220,86,92,96,102,201,203,207,0,113,117,0,0,93,103,0,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,147,0,0
