,1,2
1.01,0.108,0.892
1.03,0.154,0.846
2.04,0.72,0.28
2.05,0.69,0.31
2.06,0.869,0.131
5.01,0.845,0.155
5.02,0.117,0.883
5.04,0.632,0.368
6.01,0.11,0.89
6.02,0.623,0.377
6.03,0.288,0.712
6.05,0.113,0.887
6.09,0.115,0.885
9.02,0.094,0.906
9.04,0.3,0.7
9.06,0.671,0.329
10.03,0.063,0.937
10.06,0.069,0.931
10.09,0.192,0.808
10.12,0.07,0.93
11.01,0.096,0.904
11.02,0.068,0.932
11.04,0.067,0.933
11.07,0.1,0.9
12.01,0.84,0.16
12.02,0.596,0.404
13.02,0.716,0.284
13.05,0.615,0.385
13.07,0.716,0.284
13.09,0.634,0.366
14.02,0.84,0.16
14.04,0.899,0.101
15.01,0.879,0.121
15.02,0.854,0.146
15.04,0.886,0.114
15.06,0.854,0.146
16.01,0.927,0.073
17.04,0.765,0.235
17.05,0.878,0.122
17.06,0.937,0.063
18.01,0.854,0.146
18.02,0.897,0.103
20.01,0.137,0.863
20.02,0.137,0.863
20.05,0.172,0.828
20.06,0.14,0.86
21.01,0.077,0.923
21.02,0.681,0.319
22.01,0.078,0.922
22.02,0.082,0.918
22.03,0.138,0.862
22.05,0.092,0.908
22.07,0.087,0.913
23.01,0.809,0.191
23.02,0.851,0.149
